node1,node2,score
26059311,4429332928,525.0167894048928
26059311,1987116406,503.5385383998603
26059311,1924125169,456.9275546115248
26059311,1924125174,479.30294625722547
26059312,420547128,325.3661376928346
26059312,2518952176,286.02554366976483
26059312,1941921927,193.95758306149588
26059315,2518952144,201.8831104308116
26059315,420547124,194.09700036932827
26059315,2518952154,223.37101745032447
26059326,2990317175,207.692588977904
26059326,3255215311,380.64568928516013
26059326,3255248421,258.98821881585695
26059332,1943828794,346.4801790497673
26059332,1729202398,229.86538541510606
26059332,4429259475,394.6330947984997
26059343,2990317173,29.10200019395569
26059343,1987108058,72.989491810835
26059343,1987108044,41.412026715346876
26059362,6315375926,157.12342364532844
26059362,6315375928,140.20460540754422
26059362,1307159575,141.8463245096607
26059363,1987108061,195.7835097368585
26059363,6315375926,180.5505868895113
26059363,6315375927,132.95404569220864
26059364,60076972,145.137481368929
26059364,1307159488,193.49837860769293
26059364,9339668038,196.35441272115742
26059367,1987108056,362.62081972021434
26059367,9339668045,370.9006305353194
26059367,1984430498,333.224433166052
26059367,3357222519,335.87984765795414
26059368,1307159451,414.31918005523767
26059368,7287615670,415.01266585889925
26059368,3357222488,425.3343889923422
26059368,423743084,395.9593032126866
26059375,26059376,488.3871422953932
26059375,6273863585,488.6571578193529
26059375,1076646244,457.2430560482072
26059376,7287615682,481.70253366064645
26059376,26059375,488.3871422953932
26059391,9724181992,1.0010671634972972e-14
26059391,2578036927,4.247204271759884e-09
26059391,2578036978,4.386814176324327e-15
26059394,5108635182,1.5944787942330373e-10
26059394,9724124005,3.787885292242913e-10
26059394,4415853913,2.278357227951209e-10
26059396,4415853916,1.9482593812212395e-10
26059396,4415853913,1.9189131994767988e-10
26059396,9725172298,1.6703939429877278e-07
26059482,9724126057,5.597954630001345e-10
26059482,9741201302,1.721182778324644e-10
26059482,9724181835,4.774982301143719e-10
26059482,9724181837,1.6832802559764127e-10
26059484,9724181831,1.675104591075966e-07
26059484,1908159203,1.2391827763812298e-07
26059484,1908159214,5.813617704815001e-07
26059484,9724126055,2.550703376135924e-07
26059484,9724126048,2.2608189878541376e-07
26059486,9724126053,0.007618736992408735
26059486,334549717,0.1295886649981421
26059486,6781639573,0.0034947996784800554
26059488,9840211283,0.013268325854657821
26059488,9724126052,0.11931586562312702
26059488,9724126025,0.02720397667079616
26059488,4486596996,0.017658253756120224
26059488,9724126036,0.014361568736720483
26059491,311784014,165.20037881687873
26059491,8667811489,158.65124637278598
26059491,2761345328,179.6447927822863
26069751,11062897573,362.758385641712
26069751,11062897571,351.2807334411676
26069751,11062897575,334.42171863937233
26069751,8671125343,346.14597203291805
26069766,3304121487,189.64901430044347
26069766,1676908272,388.7881510651489
26069766,26069768,220.26430257974474
26069768,3304121487,143.34381181236125
26069768,26069766,220.26430257974474
26069768,1378014339,214.28010706754378
26069770,315310576,147.30774371957784
26069770,3353466950,143.0109459504755
26069770,2141140253,177.35085537911112
26069794,2612147350,56.201655592659144
26069794,1151731183,103.71339556299986
26069810,8667810935,261.0301201144367
26069810,1726063077,256.6560169369244
26069810,8667810936,254.47125481510795
26069810,8667810940,264.36845344250617
26069823,1120363103,37.45581685818853
26069823,318918114,45.777993010070105
26069823,318918107,45.127352799826
26069824,5371862331,17.918885582807654
26069824,5601254519,17.73258965053827
26069824,1120363103,30.29885024241875
26069837,1859239348,302.9392835481784
26069837,1859239366,305.5896462196721
26069837,9343114856,317.4698409496207
26069842,1099409292,323.65091917496454
26069842,1859239303,450.687313722867
26069842,26069843,320.5288832316338
26069842,1482272896,353.02610973912033
26069843,1099409305,244.707112294204
26069843,26069842,320.5288832316338
26069843,1482272898,219.25695505853196
26069847,26069848,127.50289856686004
26069847,4355285623,156.68854157240338
26069847,1482272898,167.9204013235277
