node1,node2,score
26059311,4429332928,372.09127718150273
26059311,1987116406,325.6267448569695
26059311,1924125169,327.34040509081444
26059311,1924125174,342.69855033243084
26059312,420547128,279.0149137492182
26059312,2518952176,242.53795844590445
26059312,1941921927,196.78586356278572
26059315,2518952144,174.73625537424533
26059315,420547124,168.34736063390054
26059315,2518952154,184.77186729783804
26059326,2990317175,188.90169019518459
26059326,3255215311,291.6236349111833
26059326,3255248421,212.3870981766031
26059332,1943828794,242.01655853167568
26059332,1729202398,196.43239015937374
26059332,4429259475,217.74580095448925
26059343,2990317173,58.20396828962906
26059343,1987108058,104.36995808216527
26059343,1987108044,82.50476851821712
26059362,6315375926,194.12148171663117
26059362,6315375928,193.28503857052587
26059362,1307159575,192.3160721808269
26059363,1987108061,210.43246254388782
26059363,6315375926,200.90360768000255
26059363,6315375927,169.46012377445112
26059364,60076972,111.5473021701326
26059364,1307159488,170.52972130602924
26059364,9339668038,152.56725771096643
26059367,1987108056,241.32081661212064
26059367,9339668045,209.6598986936873
26059367,1984430498,257.9314734275587
26059367,3357222519,266.06917258571946
26059368,1307159451,339.52167158172585
26059368,7287615670,340.94777760000784
26059368,3357222488,352.57707314900784
26059368,423743084,348.626447518698
26059375,26059376,625.9045081344977
26059375,6273863585,626.4528661268625
26059375,1076646244,585.0468229801226
26059376,7287615682,627.2517092067696
26059376,26059375,625.9045081344977
26059391,9724181992,2.0021343244433875e-14
26059391,2578036927,8.494408543357371e-09
26059391,2578036978,8.773628343529036e-15
26059394,5108635182,3.080701092532772e-10
26059394,9724124005,7.320954755271987e-10
26059394,4415853913,3.5298566503641064e-10
26059396,4415853916,5.077350229455268e-11
26059396,4415853913,9.363604403268173e-11
26059396,9725172298,1.563911012592373e-08
26059482,9724126057,1.1195900454993066e-09
26059482,9741201302,3.442363614952682e-10
26059482,9724181835,9.54995663873088e-10
26059482,9724181837,3.3665585119216286e-10
26059484,9724181831,3.350059405514409e-07
26059484,1908159203,2.4782567931571286e-07
26059484,1908159214,1.1626310693435598e-06
26059484,9724126055,5.101194440938324e-07
26059484,9724126048,4.521404748487417e-07
26059486,9724126053,0.015221677562824712
26059486,334549717,0.2577913730600075
26059486,6781639573,0.006982672396366497
26059488,9840211283,0.02647539888551771
26059488,9724126052,0.23753777054635258
26059488,9724126025,0.0542705037698972
26059488,4486596996,0.03524495360292318
26059488,9724126036,0.02866093416246752
26059491,311784014,218.33916647457738
26059491,8667811489,216.23473680133628
26059491,2761345328,229.3980230459426
26069751,11062897573,210.0064567568329
26069751,11062897571,201.05077309763328
26069751,11062897575,185.5866027420481
26069751,8671125343,192.97787816965808
26069766,3304121487,266.1465338802286
26069766,1676908272,399.0297337650278
26069766,26069768,313.17591231849747
26069768,3304121487,260.96493787266706
26069768,26069766,313.17591231849747
26069768,1378014339,317.5226066335297
26069770,315310576,204.1969739217771
26069770,3353466950,202.45787537320746
26069770,2141140253,206.27404560063943
26069794,2612147350,77.78990878996196
26069794,1151731183,170.6861598244694
26069810,8667810935,371.6823102596015
26069810,1726063077,370.5554464774022
26069810,8667810936,359.6591305252499
26069810,8667810940,380.8397304813394
26069823,1120363103,29.80768621024872
26069823,318918114,32.258863710404356
26069823,318918107,34.33088751734256
26069824,5371862331,16.12291085961839
26069824,5601254519,16.173824121375326
26069824,1120363103,31.08748520526039
26069837,1859239348,327.6592555002119
26069837,1859239366,329.7125939005783
26069837,9343114856,315.6660424715292
26069842,1099409292,258.2649584615043
26069842,1859239303,261.7743421145264
26069842,26069843,243.54635832681203
26069842,1482272896,286.6387195478999
26069843,1099409305,244.8267534913674
26069843,26069842,243.54635832681203
26069843,1482272898,233.33266010503866
26069847,26069848,231.71240159775752
26069847,4355285623,272.85508353810894
26069847,1482272898,242.52786100723978
26069848,26069847,231.71240159775752
26069848,1120362686,226.1029384304664
26069848,1482253551,182.80912140303633
26069860,8667810991,250.83084681734942
26069860,2903311409,206.97177056826678
26069860,321706262,265.3967526703308
26069864,8667811456,113.43634428215037
26069864,8667810982,129.9948921726239
26069864,12513774340,143.5872483627232
26069872,321706138,188.8478684149133
26069872,8667811465,202.15765395304888
26069872,2348039030,202.74254436165165
26069872,8667811464,192.7496843074074
26069885,8667811675,260.7966047118831
26069885,311783999,263.3404626607173
26069885,8667811505,270.31251712137714
26069885,8667811506,249.71608768126885
26069890,26069907,245.41571524544815
26069890,8670492768,249.8552965058343
26069890,26069905,270.13249624077747
26069890,9127689083,302.51705343840325
26069904,8670492759,273.0545109352822
26069904,8670492789,275.45670544828374
26069904,8670492788,269.7078959448028
26069904,8670492791,280.57485233240527
26069905,8670492769,283.9336801531732
26069905,26069890,270.13249624077747
26069905,2626385834,289.1802805903876
26069907,26069890,245.41571524544815
26069907,8667811675,248.54656964540288
26069907,8667811502,230.18484298678703
26069924,8667811629,346.831996903539
26069924,388545531,370.24413982136525
26069924,1151731672,306.143510241042
26069924,11013982195,379.05185283752525
26069943,8568550515,362.51119283640253
26069943,1724126472,382.1088406083173
26069943,2500758996,427.0693598023272
26069971,8568550544,294.3308788643924
26069971,1974739977,294.2421816852193
26069971,2135785102,282.79411055231685
26069971,8568550549,452.91358782029425
26069976,4398463921,432.034223430103
26069976,2383000573,399.4425568024169
26069976,2383000569,423.8781104387598
26069982,11062897571,235.25488236365499
26069982,11062897521,265.0413536130153
26069982,4872043761,302.1804728499388
26069984,10983579255,386.7877658088855
26069984,1307159341,387.64004252921575
26069984,1122468021,350.0755589702851
26069984,4419114783,368.6376908415625
26069992,1079387357,276.79665856894417
26069992,9322639654,286.2749707620536
26069992,9322639623,279.2697967283542
26069992,9322639629,284.35941622071596
26070019,1151193767,271.81006003422203
26070019,2384319107,272.21947688143007
26070019,4419515358,254.2839617260547
26070019,11409493401,263.5162044424184
26070019,10958953806,324.9570174556808
26070025,1974739919,434.11432784917065
26070025,1151193803,423.4795276791563
26070025,1163353695,355.2687037418252
26070025,1974739937,349.8144060143982
60075259,6273863583,543.8638485381599
60075259,3357222510,453.9416787106293
60075259,9339668102,444.71890347847545
60075259,1076646500,506.0244793083709
60076966,3204444201,279.09753245014997
60076966,3063460625,188.66271284021133
60076966,3256266055,236.12694533499715
60076972,1307159337,129.77437681314638
60076972,26059364,111.5473021701326
60076972,1307159370,147.69099986213132
60076973,1307159494,235.0155602726715
